iter	Passed	Remaining
0	0	94
1	1	60
2	1	49
3	1	41
4	2	38
5	2	36
6	2	34
7	2	33
8	3	32
9	3	32
10	3	31
11	4	31
12	4	30
13	4	29
14	5	29
15	5	28
16	5	28
17	6	28
18	6	27
19	6	27
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	13
57	18	13
58	19	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	21	9
69	22	9
70	22	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	29	2
92	30	2
93	30	1
94	30	1
95	31	1
96	31	0
97	31	0
98	32	0
99	32	0
